Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Shawshank Redemption,1994.0,"['Crime', 'Drama']",142.0,9.3,80.0,1695366.0,28340000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Dark Knight,2008.0,"['Action', 'Crime', 'Drama']",152.0,9.0,82.0,1682554.0,533320000.00000006,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Inception,2010.0,"['Action', 'Adventure', 'Sci-Fi']",148.0,8.8,74.0,1473753.0,292570000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fight Club,1999.0,['Drama'],139.0,8.8,66.0,1352395.0,37020000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pulp Fiction,1994.0,"['Crime', 'Drama']",154.0,8.9,94.0,1329035.0,107930000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Forrest Gump,1994.0,"['Comedy', 'Drama']",142.0,8.8,82.0,1256223.0,329690000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Fellowship of the Ring,2001.0,"['Action', 'Adventure', 'Drama']",178.0,8.8,92.0,1242554.0,313840000.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Matrix,1999.0,"['Action', 'Sci-Fi']",136.0,8.7,73.0,1221684.0,171380000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Lord of the Rings: The Return of the King,2003.0,"['Action', 'Adventure', 'Drama']",201.0,8.9,94.0,1219637.0,377020000.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Godfather,1972.0,"['Crime', 'Drama']",175.0,9.2,100.0,1159473.0,134820000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Dark Knight Rises,2012.0,"['Action', 'Thriller']",164.0,8.5,78.0,1148748.0,448130000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Lord of the Rings: The Two Towers,2002.0,"['Action', 'Adventure', 'Drama']",179.0,8.7,88.0,1104032.0,340480000.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Se7en,1995.0,"['Crime', 'Drama', 'Mystery']",127.0,8.6,65.0,1027172.0,100130000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
The Avengers,2012.0,"['Action', 'Sci-Fi', 'Thriller']",143.0,8.1,69.0,999744.0,623280000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
